meals_served,temp_c,is_holiday,waste_kg,checkout_price,base_price,emailer_for_promotion,homepage_featured,price_ratio,month,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,food_item_encoded
171.5,15.9,0,4.24,25975.0,30676.0,1,0,0.8467531620811057,4,0,0,0,0,1,0,0,8
75.0,-1.6,0,0.67,35288.0,29819.0,1,0,1.1834065528689761,1,0,0,0,0,0,0,1,12
171.5,16.9,0,5.08,44425.0,34238.0,1,1,1.2975349027396461,3,0,0,0,0,1,0,0,15
162.0,-4.9,0,2.82,63113.0,47205.0,0,1,1.33699819934329,2,0,0,0,0,0,1,0,16
151.0,12.4,0,1.42,38194.0,27684.0,0,0,1.3796416702788614,11,0,0,0,0,0,0,1,9
164.0,29.3,0,1.47,36208.0,25824.0,0,0,1.402106567534077,5,0,0,0,0,0,0,1,1
104.0,-2.4,0,1.97,40243.0,29549.0,0,0,1.3619073403499273,1,0,0,0,1,0,0,0,11
100.0,38.4,0,2.42,34398.0,29300.0,0,0,1.1739931740614336,6,1,0,0,0,0,0,0,12
171.5,16.6,0,2.01,43986.0,30676.0,0,0,1.4338896857478158,8,0,0,0,0,0,0,1,2
135.0,22.0,0,3.74,24599.0,17196.0,1,0,1.4305070946731797,9,1,0,0,0,0,0,0,8
245.0,11.9,0,6.09,52935.0,44519.0,1,0,1.1890428805678475,10,0,0,0,1,0,0,0,7
83.0,17.4,0,0.67,62254.0,53235.0,0,0,1.1694186155724617,4,1,0,0,0,0,0,0,16
232.0,16.6,0,3.28,34016.0,30422.0,1,0,1.1181381894681481,10,0,0,0,1,0,0,0,1
239.0,-5.0,0,4.84,28208.0,23095.0,0,1,1.2213899112361983,12,0,0,1,0,0,0,0,19
141.0,16.6,0,2.22,40243.0,21790.0,0,0,1.8468563561266635,12,0,1,0,0,0,0,0,19
163.0,41.0,0,2.82,39602.0,30348.0,1,0,1.3049294846447872,8,0,0,0,1,0,0,0,11
159.0,-0.0,0,3.57,52899.0,46647.0,0,1,1.1340279117628143,1,0,0,0,0,0,1,0,14
173.0,16.6,0,2.58,29189.0,23495.0,0,0,1.2423494360502234,8,0,1,0,0,0,0,0,19
127.0,36.1,0,2.81,73847.0,62793.0,0,0,1.1760387304317361,7,0,1,0,0,0,0,0,0
176.0,4.3,0,3.82,38560.0,30676.0,1,0,1.2570087364715086,1,0,0,0,0,0,1,0,2
126.0,20.8,0,2.21,31053.0,23539.0,0,0,1.3192149199201326,3,0,1,0,0,0,0,0,19
171.5,16.6,0,3.75,44223.0,34999.0,0,0,1.2635503871539187,10,0,0,0,1,0,0,0,4
170.0,-0.2,0,3.41,40243.0,29152.0,0,0,1.3804541712403953,10,0,0,0,0,1,0,0,1
167.0,45.0,0,4.64,24241.0,18288.0,1,0,1.3255139982502187,6,0,0,1,0,0,0,0,8
191.0,16.6,0,3.66,40243.0,44059.0,0,0,0.913388864931115,7,0,1,0,0,0,0,0,14
122.0,16.6,0,2.51,40784.0,30933.0,0,1,1.3184624834319336,8,0,0,1,0,0,0,0,11
171.5,18.9,0,3.66,68770.0,41853.0,0,1,1.6431319140802332,10,0,1,0,0,0,0,0,14
171.5,38.3,0,4.11,34172.0,25513.0,0,1,1.3393956022419944,7,0,0,0,0,1,0,0,1
