date,food_item,meals_served,temp_c,is_holiday,day_of_week,waste_kg,checkout_price,base_price,emailer_for_promotion,homepage_featured
2023-04-06,Manti,,15.9,0,Thursday,4.24,25975.0,,1,0
2023-01-25,Plov,75.0,-1.6,0,Wednesday,0.67,35288.0,29819.0,1,0
2023-03-09,Shashlik,,16.9,0,Thursday,5.08,44425.0,34238.0,1,1
2023-02-28,Sushi Set,162.0,-4.9,0,Tuesday,,63113.0,47205.0,0,1
2023-11-01,Margherita Pizza,151.0,12.4,0,Wednesday,1.42,38194.0,27684.0,0,0
2023-05-10,Burger & Fries,164.0,29.3,0,Wednesday,1.47,36208.0,25824.0,0,0
2023-01-29,Pasta Carbonara,104.0,-2.4,0,Sunday,1.97,,29549.0,0,0
2023-06-16,Plov,100.0,38.4,0,Friday,2.42,34398.0,29300.0,0,0
2023-08-09,Caesar Salad,,,0,Wednesday,2.01,43986.0,,0,0
2023-09-29,Manti,135.0,22.0,0,Friday,3.74,24599.0,17196.0,1,0
2023-10-22,Lamb Kebab,245.0,11.9,0,Sunday,6.09,52935.0,44519.0,1,0
2023-04-21,Sushi Set,83.0,17.4,0,Friday,0.67,62254.0,53235.0,0,0
2023-10-08,Burger & Fries,232.0,,0,Sunday,3.28,34016.0,30422.0,1,0
2023-12-16,Vegetable Stir Fry,239.0,-5.0,0,Saturday,4.84,28208.0,23095.0,0,1
2023-12-04,Vegetable Stir Fry,141.0,,0,Monday,2.22,,21790.0,0,0
2023-08-13,Pasta Carbonara,163.0,41.0,0,Sunday,,39602.0,30348.0,1,0
2023-01-17,Seafood Paella,159.0,-0.0,0,Tuesday,3.57,52899.0,46647.0,0,1
2023-08-28,Vegetable Stir Fry,173.0,,0,Monday,2.58,29189.0,23495.0,0,0
2023-07-03,Beef Steak,127.0,36.1,0,Monday,2.81,73847.0,62793.0,0,0
2023-01-31,Caesar Salad,176.0,4.3,0,Tuesday,3.82,38560.0,,1,0
2023-03-27,Vegetable Stir Fry,126.0,20.8,0,Monday,2.21,31053.0,23539.0,0,0
2023-10-08,Fish and Chips,,,0,Sunday,3.75,44223.0,34999.0,0,0
2023-10-19,Burger & Fries,170.0,-0.2,0,Thursday,3.41,,29152.0,0,0
2023-06-03,Manti,167.0,45.0,0,Saturday,4.64,24241.0,18288.0,1,0
2023-07-24,Seafood Paella,191.0,,0,Monday,3.66,,44059.0,0,0
2023-08-26,Pasta Carbonara,122.0,,0,Saturday,2.51,40784.0,30933.0,0,1
2023-10-16,Seafood Paella,,18.9,0,Monday,3.66,68770.0,41853.0,0,1
2023-07-13,Burger & Fries,,38.3,0,Thursday,4.11,34172.0,25513.0,0,1
2023-08-04,Mushroom Risotto,146.0,,0,Friday,1.84,36981.0,29234.0,0,1
2023-10-29,Beef Steak,274.0,15.0,0,Sunday,4.22,76002.0,,0,0
2023-11-07,Fish and Chips,91.0,,0,Tuesday,1.46,39154.0,36690.0,0,0
2023-11-22,Caesar Salad,83.0,16.0,0,Wednesday,0.85,45301.0,30622.0,0,0
2023-05-18,Pasta Carbonara,219.0,4.1,0,Thursday,4.12,36729.0,,1,0
2023-08-22,Sushi Set,172.0,32.2,0,Tuesday,1.92,60291.0,48372.0,0,1
2023-01-13,Lagman,194.0,-6.7,0,Friday,3.31,,22260.0,0,1
2023-10-17,Mushroom Risotto,299.0,15.0,1,Tuesday,8.34,38257.0,26877.0,0,0
2023-12-26,Thai Green Curry,231.0,-4.0,0,Tuesday,4.07,,,0,0
2023-07-11,Tom Yum Soup,99.0,32.1,0,Tuesday,2.2,30216.0,23889.0,0,1
2023-10-31,Margherita Pizza,193.0,4.0,0,Tuesday,1.64,,31467.0,0,0
2023-03-18,Lagman,195.0,,0,Saturday,4.0,28945.0,,0,0
2023-05-18,Vegetable Stir Fry,261.0,,0,Thursday,2.56,33019.0,19864.0,0,0
2023-06-05,Lamb Kebab,183.0,,0,Monday,4.59,,,0,0
2023-07-10,Lagman,217.0,29.0,0,Monday,4.32,30951.0,,0,0
2023-06-13,Manti,142.0,30.1,0,Tuesday,1.95,25156.0,19210.0,0,0
2023-04-16,Grilled Chicken,,2.7,0,Sunday,5.32,50938.0,40015.0,1,0
2023-04-30,Seafood Paella,329.0,19.2,0,Sunday,2.9,68822.0,46584.0,0,0
2023-11-25,Caesar Salad,176.0,16.2,0,Saturday,1.65,41848.0,30069.0,0,0
2023-06-07,Beef Steak,93.0,,0,Wednesday,1.13,74348.0,54312.0,0,0
2023-04-21,Seafood Paella,146.0,16.0,0,Friday,2.01,60538.0,,1,0
2023-04-21,Chicken Tikka,70.0,,0,Friday,1.55,37613.0,29688.0,0,0
2023-12-18,Mushroom Risotto,87.0,-1.9,0,Monday,0.77,39209.0,30517.0,0,0
2023-01-29,Plov,332.0,0.2,1,Sunday,8.31,38617.0,,0,0
2023-03-29,Margherita Pizza,187.0,20.9,0,Wednesday,,34145.0,27054.0,1,0
2023-03-19,Lamb Kebab,176.0,29.1,0,Sunday,3.02,52807.0,45424.0,0,0
2023-03-22,Plov,324.0,,1,Wednesday,6.23,30984.0,,0,0
2023-06-15,Chicken Tikka,149.0,32.2,0,Thursday,,36075.0,34774.0,0,1
2023-08-17,Seafood Paella,246.0,33.1,0,Thursday,4.77,59298.0,,0,1
2023-06-10,Margherita Pizza,,38.5,0,Saturday,5.39,38381.0,32475.0,0,0
2023-01-23,Plov,151.0,,0,Monday,1.95,32188.0,30237.0,0,0
2023-03-28,Mushroom Risotto,231.0,17.2,0,Tuesday,2.8,38201.0,27338.0,0,0
2023-04-08,Plov,292.0,,0,Saturday,7.37,29893.0,25622.0,1,0
2023-10-23,Tom Yum Soup,123.0,,0,Monday,,38642.0,24121.0,0,0
2023-11-22,Margherita Pizza,157.0,21.9,0,Wednesday,3.68,,28799.0,1,0
2023-09-21,Grilled Chicken,194.0,17.2,0,Thursday,4.35,45387.0,34974.0,1,0
2023-05-09,Shashlik,164.0,,0,Tuesday,1.53,40742.0,33894.0,0,0
2023-07-10,Samsa,231.0,33.2,0,Monday,7.11,17125.0,9897.0,1,0
2023-07-12,Seafood Paella,,34.1,0,Wednesday,1.7,64384.0,47252.0,1,0
2023-10-05,Mushroom Risotto,259.0,18.0,0,Thursday,5.63,,30708.0,1,1
2023-05-21,Thai Green Curry,310.0,5.1,0,Sunday,7.65,36755.0,,1,0
2023-10-30,Margherita Pizza,,7.7,0,Monday,,,31773.0,0,0
2023-06-14,Beef Steak,117.0,,0,Wednesday,1.92,70345.0,62597.0,1,0
2023-04-23,Grilled Chicken,305.0,14.3,0,Sunday,8.69,43162.0,,1,1
2023-08-05,Mushroom Risotto,231.0,36.7,0,Saturday,7.24,41369.0,,0,0
2023-09-09,Shashlik,250.0,,0,Saturday,5.67,39848.0,33254.0,0,0
2023-01-14,Burger & Fries,154.0,,0,Saturday,,,30388.0,1,1
2023-08-03,Lamb Kebab,89.0,31.0,0,Thursday,1.35,57794.0,39742.0,0,0
